make,make_slug,country,model,nickname,generation,slug,year_from,year_to,years,body_style,is_popular,popular_order,image,page_url,description
Deepal,deepal,China,S05,Deepal S05 (2024–present),,deepal-s05-2024-present,2024,2026,"2026,2025,2024",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785959958/storecraft/storecraft/cars/models/ne8knbqktrs61fanuknh.webp,https://crazzycars.pk/cars/deepal-s05-2024-present,Shop Deepal S05 accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
DFSK,dfsk,China,Glory 580,PRO,PRO,dfsk-glory-580-2018-present,2018,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960013/storecraft/storecraft/cars/models/cih8p9ggglpdtpxo3ngx.webp,https://crazzycars.pk/cars/dfsk-glory-580-2018-present,Shop DFSK Glory 580 accessories in Pakistan. Cash on Delivery.
Honda,honda,Japan,Civic,7th Gen (ES),7th Gen (ES),honda-civic-es-2001-2005,2001,2005,"2005,2004,2003,2002,2001",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571707/storecraft/storecraft/cars/models/honda-honda-civic-es-2001-2005-msqmnyom.webp,https://crazzycars.pk/cars/honda-civic-es-2001-2005,Shop Honda Civic accessories in Pakistan. Cash on Delivery.
Honda,honda,Japan,City,Classic,Classic,honda-city-classic-2009-2020,2009,2020,"2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/City-old_ccc718e9-54ae-4f1b-b239-7bbb03fd9bbb.jpg?v=1773853476,https://crazzycars.pk/cars/honda-city-classic-2009-2020,"Shop Honda City Classic accessories in Pakistan — body kits, front splitters, side skirts, LED upgrades & chrome trims. Cash on Delivery."
Honda,honda,Japan,BR-V,Honda BR-V (2017–present),,honda-brv-2017-present,2017,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571778/storecraft/storecraft/cars/models/honda-honda-brv-2017-present-msqmphsy.webp,https://crazzycars.pk/cars/honda-brv-2017-present,Shop Honda BR-V accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Honda,honda,Japan,Vezel,2nd Gen,2nd Gen,honda-vezel-2020-2026,2020,2026,"2026,2025,2024,2023,2022,2021,2020",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/files/fbb1f8d5-2b26-477c-9560-2b17c440f33e_wm.jpg?v=1780415097,https://crazzycars.pk/cars/honda-vezel-2020-2026,Shop Honda Vezel 2nd Gen 2020–Present accessories in Pakistan — Cash on Delivery nationwide.
Honda,honda,Japan,City,7th Gen,7th Gen,honda-city-2021-present,2021,2026,"2026,2025,2024,2023,2022,2021",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/honda_city.webp?v=1773853788,https://crazzycars.pk/cars/honda-city-2021-present,"Premium Honda City 2021-Present accessories in Pakistan — interior, exterior & LED upgrades from CrazzyCars.pk. COD all over Pakistan."
Honda,honda,Japan,HR-V,Honda HR-V (2022–present),,honda-hrv-2022-present,2022,2026,"2026,2025,2024,2023,2022",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571810/storecraft/storecraft/cars/models/honda-honda-hrv-2022-present-msqmq6mw.webp,https://crazzycars.pk/cars/honda-hrv-2022-present,Shop Honda HR-V accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Hyundai,hyundai,South Korea,Elantra,CN7,CN7,hyundai-elantra-2020-2024,2020,2024,"2024,2023,2022,2021,2020",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Hyundai_Elantra_Limited.jpg?v=1775826465,https://crazzycars.pk/cars/hyundai-elantra-2020-2024,Shop Hyundai Elantra 2020-2024 accessories in Pakistan — carbon fiber interior trims & styling upgrades. Cash on Delivery nationwide.
Hyundai,hyundai,South Korea,Sonata,DN8,DN8,hyundai-sonata-2020-2024,2020,2024,"2024,2023,2022,2021,2020",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Hyuandi_Conata.webp?v=1775849207,https://crazzycars.pk/cars/hyundai-sonata-2020-2024,"Shop Hyundai Sonata DN8 2020-2024 accessories in Pakistan — carbon fiber trims, styling & interior upgrades. Cash on Delivery."
Hyundai,hyundai,South Korea,Tucson,NX4,NX4,hyundai-tucson-2020-2024,2020,2024,"2024,2023,2022,2021,2020",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571875/storecraft/storecraft/cars/models/hyundai-hyundai-tucson-2020-2024-msqmrj9c.webp,https://crazzycars.pk/cars/hyundai-tucson-2020-2024,Shop Hyundai Tucson accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Hyundai,hyundai,South Korea,Elantra Hybrid,CN7 Facelift,CN7 Facelift,hyundai-elantra-hybrid-2025-present,2025,2026,"2026,2025",Sedan,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Hyundai_Elantra_2026_50fcc4dd-9fe7-4a84-bb79-69acf6951825.jpg?v=1775849463,https://crazzycars.pk/cars/hyundai-elantra-hybrid-2025-present,"Premium Hyundai Elantra Hybrid 2025-Present accessories in Pakistan — interior trims, exterior styling & more. COD available."
KIA,kia,South Korea,Picanto,KIA Picanto (2019–present),,kia-picanto-2019-present,2019,2026,"2026,2025,2024,2023,2022,2021,2020,2019",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572059/storecraft/storecraft/cars/models/kia-kia-picanto-2019-present-msqmviu4.webp,https://crazzycars.pk/cars/kia-picanto-2019-present,Shop KIA Picanto accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
KIA,kia,South Korea,Sportage,KIA Sportage (2019–2024),,kia-sportage-2019-2024,2019,2024,"2024,2023,2022,2021,2020,2019",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572152/storecraft/storecraft/cars/models/kia-kia-sportage-2019-2024-msqmxhr7.webp,https://crazzycars.pk/cars/kia-sportage-2019-2024,Shop KIA Sportage accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
KIA,kia,South Korea,Sorento,KIA Sorento (2021–2024),,kia-sorento-2021-2024,2021,2024,"2024,2023,2022,2021",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572190/storecraft/storecraft/cars/models/kia-kia-sorento-2021-2024-msqmyaqw.webp,https://crazzycars.pk/cars/kia-sorento-2021-2024,Shop KIA Sorento accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
KIA,kia,South Korea,Stonic,KIA Stonic (2021–2026),,kia-stonic-2021-present,2021,2026,"2026,2025,2024,2023,2022,2021",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960136/storecraft/storecraft/cars/models/lbcsgq0kb02hdesxc80k.webp,https://crazzycars.pk/cars/kia-stonic-2021-present,Shop KIA Stonic accessories in Pakistan. Cash on Delivery.
MG,mg,China,HS,MG HS (2020–2025),,mg-hs-2020-2025,2020,2025,"2025,2024,2023,2022,2021,2020",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572291/storecraft/storecraft/cars/models/mg-mg-hs-2020-2025-msqn0hte.webp,https://crazzycars.pk/cars/mg-hs-2020-2025,Shop MG HS accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Nissan,nissan,Japan,Note,Nissan Note (2012–2026),,nissan-note-2012-present,2012,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960241/storecraft/storecraft/cars/models/dl44bple1z7ev1bk1gxn.webp,https://crazzycars.pk/cars/nissan-note-2012-present,Shop Nissan Note accessories in Pakistan. Cash on Delivery.
Proton,proton,Malaysia,X70,Proton X70 (2020–2026),,proton-x70-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960322/storecraft/storecraft/cars/models/js1wkbmdxquxnantkubh.webp,https://crazzycars.pk/cars/proton-x70-2020-present,Shop Proton X70 accessories in Pakistan. Cash on Delivery.
Suzuki,suzuki,Japan,Liana,Suzuki Liana (2006–2014),,suzuki-liana-2006-2014,2006,2014,"2014,2013,2012,2011,2010,2009,2008,2007,2006",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786469654/storecraft/storecraft/cars/models/suzuki-liana-2006-2014-wiki.jpg,https://crazzycars.pk/cars/suzuki-liana-2006-2014,Shop Suzuki Liana accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Suzuki,suzuki,Japan,Wagon R,Suzuki Wagon R (2014–present),,suzuki-wagonr-2014-present,2014,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571939/storecraft/storecraft/cars/models/suzuki-suzuki-wagonr-2014-present-msqmsxrk.webp,https://crazzycars.pk/cars/suzuki-wagonr-2014-present,Shop Suzuki Wagon R accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Suzuki,suzuki,Japan,Cultus,Suzuki Cultus (2017–present),,suzuki-cultus-2017-present,2017,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571986/storecraft/storecraft/cars/models/suzuki-suzuki-cultus-2017-present-msqmtxem.webp,https://crazzycars.pk/cars/suzuki-cultus-2017-present,Shop Suzuki Cultus accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Suzuki,suzuki,Japan,Swift,3rd Gen,3rd Gen,suzuki-swift-2018-2024,2018,2024,"2024,2023,2022,2021,2020,2019,2018",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572025/storecraft/storecraft/cars/models/suzuki-suzuki-swift-2018-2024-msqmur98.webp,https://crazzycars.pk/cars/suzuki-swift-2018-2024,Shop Suzuki Swift 2018-2024 accessories in Pakistan. Cash on Delivery.
Suzuki,suzuki,Japan,Swift,4th Gen (Z Series),4th Gen (Z Series),suzuki-swift-2025-present,2025,2026,"2026,2025",Hatchback,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Suzuki-Swift-new-shape.jpg?v=1775827594,https://crazzycars.pk/cars/suzuki-swift-2025-present,"Premium Suzuki Swift 2025-Present (4th Gen) accessories in Pakistan — styling, LED & interior upgrades. COD all over Pakistan."
Toyota,toyota,Japan,Corolla,E120,E120,toyota-corolla-e120-2002-2008,2002,2008,"2008,2007,2006,2005,2004,2003,2002",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571364/storecraft/storecraft/cars/models/toyota-toyota-corolla-e120-2002-2008-msqmglin.webp,https://crazzycars.pk/cars/toyota-corolla-e120-2002-2008,Shop Toyota Corolla accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Mark X,1st Gen (X120),1st Gen (X120),toyota-mark-x-2004-1-genx120,2004,2011,"2011,2010,2009,2008,2007,2006,2005,2004",Sedan,no,,https://res.cloudinary.com/djmqim946/image/upload/v1785016535/storecraft/storecraft/cars/models/rfkg1kwsarluzv75n9ll.webp,https://crazzycars.pk/cars/toyota-mark-x-2004-1-genx120,"Shop Toyota Mark X 1st Gen (X120) accessories in Pakistan — body kits, lights, interior & carbon fiber. Cash on Delivery nationwide on CrazzyCars.pk."
Toyota,toyota,Japan,Prius,XW20,XW20,toyota-prius-2004-2009,2004,2009,"2009,2008,2007,2006,2005,2004",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786469585/storecraft/storecraft/cars/models/toyota-prius-2004-2009-wiki.jpg,https://crazzycars.pk/cars/toyota-prius-2004-2009,Shop Toyota Prius accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Prius,XW30,XW30,toyota-prius-2009-2015,2009,2015,"2015,2014,2013,2012,2011,2010,2009",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786469590/storecraft/storecraft/cars/models/toyota-prius-2009-2015-wiki.jpg,https://crazzycars.pk/cars/toyota-prius-2009-2015,Shop Toyota Prius accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Aqua,Toyota Aqua (2012–Present),,toyota-aqua-2012-present,2012,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012",Hatchback,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Toyota-Aqua_2012.jpg?v=1780170774,https://crazzycars.pk/cars/toyota-aqua-2012-present,"Upgrade your Toyota Aqua with premium accessories in Pakistan — body kits, LED lights, interior styling & carbon fiber trims. COD nationwide."
Toyota,toyota,Japan,Vitz,Toyota Vitz (2012–Present),,toyota-vitz-2012-present,2012,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012",Hatchback,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Toyota_Vitz_420x_crop_center_faea2e4c-1412-49f7-beb0-e02b89195526.webp?v=1780170638,https://crazzycars.pk/cars/toyota-vitz-2012-present,"Shop Toyota Vitz accessories online in Pakistan — exterior styling, LED lights & interior upgrades with Cash on Delivery."
Toyota,toyota,Japan,Hilux Revo,Toyota Hilux Revo (2016–present),,toyota-hilux-revo-2016-present,2016,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016",Pickup,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571441/storecraft/storecraft/cars/models/toyota-toyota-hilux-revo-2016-present-msqmi9av.webp,https://crazzycars.pk/cars/toyota-hilux-revo-2016-present,Shop Toyota Hilux Revo accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Prius,4th Gen (XW50),4th Gen (XW50),toyota-prius-2016-2022,2016,2022,"2022,2021,2020,2019,2018,2017,2016",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960451/storecraft/storecraft/cars/models/vch5eoueopg8jik4u8ww.webp,https://crazzycars.pk/cars/toyota-prius-2016-2022,Shop Toyota Prius accessories in Pakistan. Cash on Delivery.
Toyota,toyota,Japan,Raize,Toyota Raize (2019–present),,toyota-raize-2019-present,2019,2026,"2026,2025,2024,2023,2022,2021,2020,2019",Pickup,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571488/storecraft/storecraft/cars/models/toyota-toyota-raize-2019-present-msqmj9j0.webp,https://crazzycars.pk/cars/toyota-raize-2019-present,Shop Toyota Raize accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Corolla Cross,Toyota Corolla Cross (2020–present),,toyota-corolla-cross-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571541/storecraft/storecraft/cars/models/toyota-toyota-corolla-cross-2020-present-msqmkecl.webp,https://crazzycars.pk/cars/toyota-corolla-cross-2020-present,Shop Toyota Corolla Cross accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Fortuner,Toyota Fortuner (2020–present),,toyota-fortuner-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786571571/storecraft/storecraft/cars/models/toyota-toyota-fortuner-2020-present-msqml1sg.webp,https://crazzycars.pk/cars/toyota-fortuner-2020-present,Shop Toyota Fortuner accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Toyota,toyota,Japan,Yaris,Toyota Yaris (2020–Present),,toyota-yaris-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",Hatchback,no,,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Totota_corolla_yaris.jpg?v=1780170187,https://crazzycars.pk/cars/toyota-yaris-2020-present,"Shop Toyota Yaris accessories in Pakistan — splitters, spoilers, chrome trims, LED lights & interior upgrades. Cash on Delivery all over Pakistan."
Toyota,toyota,Japan,Yaris Cross,Toyota Yaris Cross (2020–2026),,toyota-yaris-cross-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",Hatchback,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785960414/storecraft/storecraft/cars/models/kconc8ka7og9dzsvfjiw.webp,https://crazzycars.pk/cars/toyota-yaris-cross-2020-present,Shop Toyota Yaris Cross accessories in Pakistan. Cash on Delivery.
